DATA	GSM839353	GSM839354	GSM839355	GSM839356	GSM839357	GSM839358	GSM839359	GSM839360	GSM839361	GSM839362	GSM839363	GSM839364
RP11-217B1.2	6.00204523	6.19414086	5.887100343	6.207255838	5.788048032	6.024508303	6.048080724	6.106794199	5.863401386	5.870781453	5.830279717	5.846423451
RP11-217B7.2	4.518051669	4.828643497	4.71859798	4.779580538	4.773620738	5.24639347	4.844223053	4.998645647	4.554903095	4.944447716	4.7773503	4.674633215
RP11-218C14.8	4.542506648	4.434666882	4.691920351	4.699880173	4.268182562	4.701977856	4.241553157	4.565851387	4.639897961	4.48661347	4.811329691	4.550497466
RP11-218F4.1	4.151551877	3.587899212	3.736394983	3.982041011	4.087933224	4.537687663	4.15708947	4.26690651	3.920135161	3.749820697	3.676002767	3.381058615
RP11-218I7.2	4.24311431	3.949199404	4.345431788	4.059570874	4.274640658	4.226636159	4.134457385	4.266685729	3.939095832	4.139662736	4.007706616	4.249122392
RP11-219B4.3	4.7413860670000005	4.8850104335	4.741528853	4.7661247190000005	4.80804245	4.8162566105	4.7834148195	4.8273754165	4.646479396	4.881917309	4.6859039639999995	4.671412071500001
RP11-21G15.1	3.552454515	3.496689282	3.726997245	3.582838996	3.36891769	3.416758973	3.485652602	3.856944971	3.506521989	3.589019519	3.525921681	3.473660572
RP11-21L23.2	3.8759948095	3.892747089	4.1441999835	4.016950177	4.1621171985	3.931785503	4.055087289	3.940312896	4.063272597999999	4.102111739	4.0120761895	3.9958406130000004
RP11-220I1.5	3.618372229	3.750076783	3.768521641	3.726934389	3.781174496	3.737593612	3.595039298	3.610007312	3.609790211	3.673679222	3.580734539	3.41250572
RP11-222K16.1	3.981821109	4.009992676	4.137010599	4.16030589	4.166540277	3.72495282	3.850060061	4.367441196	4.145809171	4.108379359	4.255290621	4.226833711
RP11-225H22.4	5.62528592	5.502336236	5.766905304	5.662924153	5.64449335	5.359222819	5.676289524	5.599865276	5.600183079	5.822774977	5.656412453	5.561103989
RP11-226L15.5	5.092126153	5.039758666	5.176525777	5.193344323	4.779804256	4.569047055	4.800998247	4.819153246	5.057964093	5.326567095	5.550368093	5.260837523
RP11-227D13.1	3.462373629	3.245835812	3.711896719	3.58736223	3.5601862	3.43647422	3.699341077	3.449180007	3.849670036	3.775004406	3.919818428	3.654407154
RP11-231C18.1	4.051553457	4.260958507	3.839721937	4.048385196	4.110819602	3.775889955	4.145091018	4.22710982	3.929489909	4.217214975	3.836485836	4.177654317
RP11-231E19.1	3.189522912	3.151436694	3.066571002	3.055603318	3.116720145	3.09104243	3.036707306	2.903822644	3.168316764	3.005100488	2.903642075	2.935449136
RP11-235E17.4	4.936327406	5.017690242	5.234718804	4.652985502	4.784873146	4.685879131	4.58248397	4.782667782	4.745350796	4.918377296	4.864346953	4.86746156
RP11-245J9.5	4.602481182	4.577137902	4.552022736	4.669875201	4.184431091	3.66002247	4.406936986	4.009725154	4.564936922	5.15891043	5.078416671	4.83995798
RP11-245P10.8	5.352647463	5.635884879	5.687917054	5.523125103	5.601212452	5.294861261	5.184470524	5.408124146	5.351908358	5.321629034	5.359655919	5.276261418
RP11-247L20.4	7.621986813	7.618323827	7.541176497	7.663224525	7.349657699	7.569390433	7.673489596	7.196549939	6.835395402	6.828812406	7.052411115	6.883703649
RP11-248J18.2	6.957447195	6.984842358	6.836196583	7.037434459	6.619376491	6.79608559	6.912821673	6.496230227	7.276158636	7.092361479	7.362937379	7.125013887
RP11-248J18.3	6.27701534	6.101796766	5.992702984	6.262754543	5.882594354	6.163714624	6.03299931	5.512085685	6.291964981	6.218445127	6.450977728	6.295829475
RP11-24D15.1	4.867869728	5.007660124	5.020307117	4.610089918	4.844113335	4.742435914	4.81568669	4.714455361	4.717675529	5.060614706	4.893195548	4.344529929
RP11-24P14.1	3.558397821	3.231437775	3.690828486	3.808857533	3.701996609	3.591523267	3.610101055	3.573508062	3.521776612	3.659502863	3.4579267	3.441346546
